 Name                                      Version       License                                                          
 protobuf                                  5.29.6        3-Clause BSD License                                             
 multidict                                 6.7.0         Apache License 2.0                                               
 thrift                                    0.22.0        Apache License 2.0                                               
 overrides                                 7.7.0         Apache License, Version 2.0                                      
 PyPika                                    0.50.0        Apache Software License                                          
 aiofiles                                  25.1.0        Apache Software License                                          
 aiosignal                                 1.4.0         Apache Software License                                          
 arrow                                     1.4.0         Apache Software License                                          
 bcrypt                                    4.0.1         Apache Software License                                          
 bleach                                    6.3.0         Apache Software License                                          
 chromadb                                  1.4.1         Apache Software License                                          
 cyclonedx-python-lib                      11.7.0        Apache Software License                                          
 distro                                    1.9.0         Apache Software License                                          
 elastic-transport                         9.2.1         Apache Software License                                          
 flatbuffers                               25.12.19      Apache Software License                                          
 google-ai-generativelanguage              0.6.15        Apache Software License                                          
 google-api-core                           2.29.0        Apache Software License                                          
 google-api-python-client                  2.187.0       Apache Software License                                          
 google-auth                               2.52.0        Apache Software License                                          
 google-auth-httplib2                      0.3.0         Apache Software License                                          
 google-generativeai                       0.8.6         Apache Software License                                          
 googleapis-common-protos                  1.72.0        Apache Software License                                          
 grpcio                                    1.76.0        Apache Software License                                          
 grpcio-status                             1.62.3        Apache Software License                                          
 huggingface-hub                           0.36.0        Apache Software License                                          
 importlib_resources                       6.5.2         Apache Software License                                          
 kubernetes                                35.0.0        Apache Software License                                          
 langdetect                                1.0.9         Apache Software License                                          
 nltk                                      3.9.4         Apache Software License                                          
 openai                                    2.14.0        Apache Software License                                          
 opencv-python                             4.12.0.88     Apache Software License                                          
 pip-api                                   0.0.34        Apache Software License                                          
 pip_audit                                 2.10.0        Apache Software License                                          
 propcache                                 0.4.1         Apache Software License                                          
 proto-plus                                1.27.0        Apache Software License                                          
 py-serializable                           2.1.0         Apache Software License                                          
 pytesseract                               0.3.13        Apache Software License                                          
 requests                                  2.32.5        Apache Software License                                          
 requests-toolbelt                         1.0.0         Apache Software License                                          
 rsa                                       4.9.1         Apache Software License                                          
 runwayml                                  4.11.0        Apache Software License                                          
 safetensors                               0.7.0         Apache Software License                                          
 scalene                                   2.3.0         Apache Software License                                          
 sentence-transformers                     5.2.0         Apache Software License                                          
 sortedcontainers                          2.4.0         Apache Software License                                          
 stevedore                                 5.7.0         Apache Software License                                          
 tenacity                                  9.1.2         Apache Software License                                          
 tokenizers                                0.22.2        Apache Software License                                          
 transformers                              4.57.3        Apache Software License                                          
 websocket-client                          1.9.0         Apache Software License                                          
 yarl                                      1.22.0        Apache Software License                                          
 python-dateutil                           2.9.0.post0   Apache Software License; BSD License                             
 sniffio                                   1.3.1         Apache Software License; MIT License                             
 uv                                        0.9.21        Apache Software License; MIT License                             
 CacheControl                              0.14.4        Apache-2.0                                                       
 asyncpg                                   0.31.0        Apache-2.0                                                       
 bandit                                    1.9.4         Apache-2.0                                                       
 coverage                                  7.13.1        Apache-2.0                                                       
 elasticsearch                             9.2.1         Apache-2.0                                                       
 fastmcp                                   0.2.0         Apache-2.0                                                       
 frozenlist                                1.8.0         Apache-2.0                                                       
 google-genai                              2.0.0         Apache-2.0                                                       
 importlib_metadata                        8.7.1         Apache-2.0                                                       
 license-expression                        30.4.4        Apache-2.0                                                       
 msgpack                                   1.1.2         Apache-2.0                                                       
 opentelemetry-api                         1.39.1        Apache-2.0                                                       
 opentelemetry-exporter-jaeger             1.21.0        Apache-2.0                                                       
 opentelemetry-exporter-jaeger-proto-grpc  1.21.0        Apache-2.0                                                       
 opentelemetry-exporter-jaeger-thrift      1.21.0        Apache-2.0                                                       
 opentelemetry-exporter-otlp-proto-common  1.39.1        Apache-2.0                                                       
 opentelemetry-exporter-otlp-proto-grpc    1.39.1        Apache-2.0                                                       
 opentelemetry-instrumentation             0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-asgi        0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-fastapi     0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-logging     0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-redis       0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-requests    0.60b1        Apache-2.0                                                       
 opentelemetry-instrumentation-sqlalchemy  0.60b1        Apache-2.0                                                       
 opentelemetry-proto                       1.39.1        Apache-2.0                                                       
 opentelemetry-sdk                         1.39.1        Apache-2.0                                                       
 opentelemetry-semantic-conventions        0.60b1        Apache-2.0                                                       
 opentelemetry-util-http                   0.60b1        Apache-2.0                                                       
 pytest-asyncio                            1.3.0         Apache-2.0                                                       
 python-multipart                          0.0.21        Apache-2.0                                                       
 tzdata                                    2025.3        Apache-2.0                                                       
 prometheus_client                         0.23.1        Apache-2.0 AND BSD-2-Clause                                      
 regex                                     2025.11.3     Apache-2.0 AND CNRI-Python                                       
 aiohttp                                   3.13.3        Apache-2.0 AND MIT                                               
 packaging                                 26.2          Apache-2.0 OR BSD-2-Clause                                       
 cryptography                              46.0.3        Apache-2.0 OR BSD-3-Clause                                       
 orjson                                    3.11.5        Apache-2.0 OR MIT                                                
 ormsgpack                                 1.12.1        Apache-2.0 OR MIT                                                
 antlr4-python3-runtime                    4.11.0        BSD                                                              
 passlib                                   1.7.4         BSD                                                              
 torchvision                               0.21.0+cu124  BSD                                                              
 uritemplate                               4.2.0         BSD 3-Clause OR Apache-2.0                                       
 Authlib                                   1.7.2         BSD License                                                      
 Jinja2                                    3.1.6         BSD License                                                      
 MarkupSafe                                2.1.5         BSD License                                                      
 Pygments                                  2.19.2        BSD License                                                      
 amqp                                      5.3.1         BSD License                                                      
 asgiref                                   3.11.0        BSD License                                                      
 billiard                                  4.2.4         BSD License                                                      
 click                                     8.1.8         BSD License                                                      
 click-plugins                             1.1.1.2       BSD License                                                      
 cloudpickle                               3.1.2         BSD License                                                      
 colorama                                  0.4.6         BSD License                                                      
 contourpy                                 1.3.3         BSD License                                                      
 cycler                                    0.12.1        BSD License                                                      
 emoji                                     2.15.0        BSD License                                                      
 httpx                                     0.28.1        BSD License                                                      
 itsdangerous                              2.2.0         BSD License                                                      
 joserfc                                   1.6.5         BSD License                                                      
 jsonpatch                                 1.33          BSD License                                                      
 jsonpointer                               3.0.0         BSD License                                                      
 kiwisolver                                1.4.9         BSD License                                                      
 mpmath                                    1.3.0         BSD License                                                      
 nodeenv                                   1.10.0        BSD License                                                      
 numpy                                     2.2.6         BSD License                                                      
 nvidia-ml-py                              13.595.45     BSD License                                                      
 prompt_toolkit                            3.0.52        BSD License                                                      
 pyasn1                                    0.6.1         BSD License                                                      
 pyasn1_modules                            0.4.2         BSD License                                                      
 pybase64                                  1.4.3         BSD License                                                      
 pycparser                                 2.23          BSD License                                                      
 pyreadline3                               3.5.4         BSD License                                                      
 pyzmq                                     27.1.0        BSD License                                                      
 reportlab                                 4.4.7         BSD License                                                      
 requests-oauthlib                         2.0.0         BSD License                                                      
 scipy                                     1.16.3        BSD License                                                      
 sentry-sdk                                2.48.0        BSD License                                                      
 setproctitle                              1.3.7         BSD License                                                      
 sqlparse                                  0.5.5         BSD License                                                      
 sympy                                     1.13.1        BSD License                                                      
 threadpoolctl                             3.6.0         BSD License                                                      
 torch                                     2.6.0+cu124   BSD License                                                      
 uuid_utils                                0.12.0        BSD License                                                      
 vine                                      5.1.0         BSD License                                                      
 webcolors                                 25.10.0       BSD License                                                      
 webencodings                              0.5.1         BSD License                                                      
 websockets                                15.0.1        BSD License                                                      
 wrapt                                     1.17.3        BSD License                                                      
 xlsxwriter                                3.2.9         BSD License                                                      
 xxhash                                    3.6.0         BSD License                                                      
 qrcode                                    8.2           BSD License; Other/Proprietary License                           
 boolean.py                                5.0           BSD-2-Clause                                                     
 pytest-benchmark                          5.2.3         BSD-2-Clause                                                     
 Flask                                     3.1.3         BSD-3-Clause                                                     
 Werkzeug                                  3.1.5         BSD-3-Clause                                                     
 celery                                    5.6.2         BSD-3-Clause                                                     
 fsspec                                    2025.12.0     BSD-3-Clause                                                     
 httpcore                                  1.0.9         BSD-3-Clause                                                     
 idna                                      3.11          BSD-3-Clause                                                     
 joblib                                    1.5.3         BSD-3-Clause                                                     
 kombu                                     5.6.2         BSD-3-Clause                                                     
 mutmut                                    3.5.0         BSD-3-Clause                                                     
 networkx                                  3.6.1         BSD-3-Clause                                                     
 oauthlib                                  3.3.1         BSD-3-Clause                                                     
 psutil                                    7.2.1         BSD-3-Clause                                                     
 pypdf                                     6.10.2        BSD-3-Clause                                                     
 python-dotenv                             1.2.1         BSD-3-Clause                                                     
 scikit-learn                              1.8.0         BSD-3-Clause                                                     
 sse-starlette                             3.1.2         BSD-3-Clause                                                     
 starlette                                 0.50.0        BSD-3-Clause                                                     
 starlette-testclient                      0.4.1         BSD-3-Clause                                                     
 uvicorn                                   0.40.0        BSD-3-Clause                                                     
 zstandard                                 0.25.0        BSD-3-Clause                                                     
 pypdfium2                                 5.3.0         BSD-3-Clause, Apache-2.0, dependency licenses                    
 pytest-timeout                            2.4.0         DFSG approved; MIT License                                       
 PyMuPDF                                   1.27.2.2      Dual Licensed - GNU AFFERO GPL 3.0 or Artifex Commercial License 
 junit-xml                                 1.9           Freely Distributable; MIT License                                
 lizard                                    1.22.1        Freeware                                                         
 ultralytics                               8.4.12        GNU Affero General Public License v3 or later (AGPLv3+)          
 ultralytics-thop                          2.0.18        GNU Affero General Public License v3 or later (AGPLv3+)          
 rfc3987                                   1.3.8         GNU General Public License v3 or later (GPLv3+)                  
 psycopg2-binary                           2.9.11        GNU Library or Lesser General Public License (LGPL)              
 dnspython                                 2.8.0         ISC License (ISCL)                                               
